Matrix,v2Code,Analyte,Analyte Code,Common Method Name,Extraction reagents/formulation,Extraction Ratio,Extraction Basis,Extraction Time,Analyte Measurement Method,Observation Category,Reporting Unit,UoM Code,QUDT Code,QUDT URI,Citation Organization,Citation,Citation Link,Acceptance,Status,Row Added Date,Row Changed Date,Change Comment,Notes
SOIL,L_MODV2_SOIL_ASTAB_006,aggregate stability,ASTAB,Volumetric Aggergrate Stability Test,Deionized Water,,Calculation,3 min,Volume,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,Woods End Laboratories,,,PROPRIETARY,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_ASTAB_007,aggregate stability,ASTAB,Image recognition,Image recognition,,Slaking,10 min,Calculation,CALCULATION,ratio,ratio,UNITLESS,http://qudt.org/vocab/unit/UNITLESS,Soil Health Institute,https://soilhealthinstitute.org/app/uploads/2022/06/SOP_AggStability_ImageRecogn_simplified_v1.2.pdf,,OFFICIAL,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_001,aluminum,AL,Ammonium Chloride/Barium Chloride,NH4Cl/BaCl2,,m/v,,ICP-OES,MEASURED,mEq/100g,mEq1hg-1,MilliEQ-PER-HectoGM,http://qudt.org/vocab/unit/MilliEQ-PER-HectoGM,,https://www.naptprogram.org/files/napt/western-states-method-manual-2005.pdf,,PROVISIONAL,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_002,aluminum,AL,Ammonium Oxalate,Acid Ammonium Oxalate,,m/v,,ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,CSSS,"Ross, G. J. and Wang C. 1993. Extractable Al, Fe, Mn, and Si. pp. 239-246. In: Carter, M. R. (ed), Soil Sampling and Methods of Analysis, Canadian Society of Soil Sciences, Lewis Publishers, Ann Arbor, MI.",,PROVISIONAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_003,aluminum,AL,"Aqua Regia, Modified","Reverse Aqua Regia (HCl:HNO3, 1:3)",1:10,m/v,20 min,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,,,,EXPERIMENTAL,VALID,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,"Reagent abbreviation: ""Reverse Aqua Regia (1:3 mixture of hydro"" → ""Reverse Aqua Regia (HCl:HNO3, 1:3)""",
SOIL,L_MODV2_SOIL_AL_004,aluminum,AL,Calcium Chloride,0.01 M CaCl2,1:10,m/v,120 min,ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20.",,PROVISIONAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_005,aluminum,AL,Calculation,Calculation,Calculation,Calculation,Calculation,Calculation,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,,,,PROVISIONAL,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_006,aluminum,AL,DTPA-Sorbitol,"DTPA-Sorbitol (0.005 M DTPA, 0.01 M CaCl2  and 0.10 M Triethanolamine and 0.20 M of Sorbitol, adjusted to pH 7.3 and .)",1:02,m/v,120 min,ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013, WERA-103. Method S-6.12",,EXPERIMENTAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-03T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg | 2026-04-03: Terminology and chemical naming standardization pass.,
SOIL,L_MODV2_SOIL_AL_007,aluminum,AL,EPA 3050A/B,"EPA 3050A/B Digestion (HNO3, HCl), EPA 6010B (ICP-OES)",1:15,m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996.",,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-03T12:00:00Z,"Mass-per-mass/ppm harmonization to percent; was mg/kg; Reagent abbreviation: ""EPA 3050A/B Digestion (Nitric Acid, Hydr"" → ""EPA 3050A/B Digestion (HNO3, HCl), EPA 6"" | 2026-04-03: Final audit fixes applied",Extraction ratio may vary
SOIL,L_MODV2_SOIL_AL_008,aluminum,AL,EPA 3051A/B,"EPA 3051A/B Microwave Digestion (HNO3, HCl), EPA 6010B (ICP-OES)",1:10,,,,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,US-EPA,,,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,"Mass-per-mass/ppm harmonization to percent; was mg/kg; Reagent abbreviation: ""EPA 3051A/B Microwave Digestion (Nitric "" → ""EPA 3051A/B Microwave Digestion (HNO3, H""",
SOIL,L_MODV2_SOIL_AL_009,aluminum,AL,EPA 3052,"EPA 3052 Microwave Digestion (HNO3, HF), EPA 6010B (ICP-OES)",1:10,,,,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,US-EPA,,,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,"Mass-per-mass/ppm harmonization to percent; was mg/kg; Reagent abbreviation: ""EPA 3052 MIcrowave Digestion (Nitric Aci"" → ""EPA 3052 Microwave Digestion (HNO3, HF),""",
SOIL,L_MODV2_SOIL_AL_010,aluminum,AL,H3A-1,H3A-1 Extractant (H3A-1 0.0024 M citric acid + 0.004 M oxalic acid + 0.004 M malic acid at pH 3.75 ),,m/v,10 min,ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,,"Haney, R. L., et al. ""Modifications to the new soil extractant H3A-1: A multinutrient extractant."" Communications in soil science and plant analysis 41.12 (2010): 1513-1523.",,EXPERIMENTAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_011,aluminum,AL,Ion Exchange Resin,Resin Extraction - Unibest (0.5 M HCl),Saturated paste,,,ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,"UniBest, Inc",https://www.unibestinc.com/about,,PROPRIETARY,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_012,aluminum,AL,Mehlich 3,Mehlich 3 (0.2 N CH3COOH + 0.25 N NH4NO3 + 0.013 N HNO3 + 0.015 N NH4F + 0.001 M EDTA),1:10,m/v,5 min,"ICP-OES, AAS",MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,"SERA-6, NCERA-13, NECC-1812","Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3",,PROVISIONAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-03T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg | 2026-04-03: Terminology harmonization — cross-matrix consistency pass. | 2026-04-03: Terminology and chemical naming standardization pass.,
SOIL,L_MODV2_SOIL_AL_013,aluminum,AL,Mehlich 3,Mehlich 3 (0.2 N CH3COOH + 0.25 N NH4NO3 + 0.013 N HNO3 + 0.015 N NH4F + 0.001 M EDTA),1:10,v/v,5 min,"ICP-OES, AAS",MEASURED,mg/L,mg1L-1,MilliGM-PER-L,http://qudt.org/vocab/unit/MilliGM-PER-L,SERA-6,"Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3",,PROVISIONAL,VALID,2024-11-13T12:00:00Z,2026-04-03T12:00:00Z,2026-04-03: Terminology harmonization — cross-matrix consistency pass. | 2026-04-03: Terminology and chemical naming standardization pass.,
SOIL,L_MODV2_SOIL_AL_014,aluminum,AL,Nitric Acid,HNO3,,m/v,,,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,,,,EXPERIMENTAL,RETIRED,2024-11-13T12:00:00Z,2026-04-03T12:00:00Z,2026-04-03: Terminology and chemical naming standardization pass.,
SOIL,L_MODV2_SOIL_AL_015,aluminum,AL,Plant Root Simulator,Plant Root Simulator - PRS,Saturated paste,in situ probe,180 min,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,MilliGM-PER-M2,http://qudt.org/vocab/unit/MilliGM-PER-M2,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition.",,PROPRIETARY,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_016,aluminum,AL,Plant Root Simulator,Plant Root Simulator - PRS,Saturated paste,in situ probe,24 hrs,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,MilliGM-PER-M2,http://qudt.org/vocab/unit/MilliGM-PER-M2,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition.",,PROPRIETARY,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_017,aluminum,AL,Plant Root Simulator,Plant Root Simulator - PRS,Field Capacity,in situ probe,24 hrs,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,MilliGM-PER-M2,http://qudt.org/vocab/unit/MilliGM-PER-M2,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition.",,PROPRIETARY,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_018,aluminum,AL,Potassium Chloride,1.0 M KCl,1:05,m/v,30 min,ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1",,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_019,aluminum,AL,Potassium Chloride,1.0 M KCl,1:05,m/v,30 min,ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1",,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_020,aluminum,AL,Potassium Chloride,1.0 M KCl,1:05,m/v,30 min,Titration,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1",,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_021,aluminum,AL,Potassium Chloride,1.0 M KCl,1:05,m/v,30 min,Titration,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1",,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_022,aluminum,AL,Saturated paste,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,ICP-OES,MEASURED,mg/L,mg1L-1,MilliGM-PER-L,http://qudt.org/vocab/unit/MilliGM-PER-L,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC.",,EXPERIMENTAL,VALID,2024-11-13T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_023,aluminum,AL,Mehlich 3,Mehlich 3 (0.2 N CH3COOH + 0.25 N NH4NO3 + 0.013 N HNO3 + 0.015 N NH4F + 0.001 M EDTA),1:10,m/v,5 min,"ICP-OES, AAS",MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,,"Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3",,PROVISIONAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-03T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg | 2026-04-03: Terminology harmonization — cross-matrix consistency pass. | 2026-04-03: Terminology and chemical naming standardization pass.,
SOIL,L_MODV2_SOIL_AL_024,aluminum,AL,Modified Morgan,Modified Morgan (0.62 N NH4OH + 1.25 N CH3COOH),1:05,m/v,15 min,ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,Cornell,https://bpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/7/9922/files/2022/04/CSH13-Modified-Morgan-Extraction-and-pH-Measurement-SOP-4-2022-1.pdf,,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_025,aluminum,AL,Potassium Chloride,0.2 M CaCl2,1:05,m/v,30 min,ICP-OES,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,ASPAC,,,OFFICIAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
SOIL,L_MODV2_SOIL_AL_026,aluminum,AL,Ammonium Oxalate,Acid Ammonium Oxalate,,m/v,,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,CSSS,"Ross, G. J. and Wang C. 1993. Extractable Al, Fe, Mn, and Si. pp. 239-246. In: Carter, M. R. (ed), Soil Sampling and Methods of Analysis, Canadian Society of Soil Sciences, Lewis Publishers, Ann Arbor, MI.",,PROVISIONAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_027,aluminum,AL,Calcium Chloride,0.01 M CaCl2,1:10,m/v,120 min,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20.",,PROVISIONAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_028,aluminum,AL,DTPA-Sorbitol,"DTPA-Sorbitol (0.005 M DTPA, 0.01 M CaCl2  and 0.10 M Triethanolamine and 0.20 M of Sorbitol, adjusted to pH 7.3 and .)",1:02,m/v,120 min,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013, WERA-103. Method S-6.12",,EXPERIMENTAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_029,aluminum,AL,EPA 3050A/B,"EPA 3050A/B Digestion (HNO3, HCl), EPA 6010B (ICP-OES)",1:15,m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996.",,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,Extraction ratio may vary
SOIL,L_MODV2_SOIL_AL_030,aluminum,AL,EPA 3051A/B,"EPA 3051A/B Microwave Digestion (HNO3, HCl), EPA 6010B (ICP-OES)",1:10,,,,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,US-EPA,,,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_031,aluminum,AL,EPA 3052,"EPA 3052 Microwave Digestion (HNO3, HF), EPA 6010B (ICP-OES)",1:10,,,,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,US-EPA,,,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_032,aluminum,AL,H3A-1,H3A-1 Extractant (H3A-1 0.0024 M citric acid + 0.004 M oxalic acid + 0.004 M malic acid at pH 3.75 ),,m/v,10 min,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,,"Haney, R. L., et al. ""Modifications to the new soil extractant H3A-1: A multinutrient extractant."" Communications in soil science and plant analysis 41.12 (2010): 1513-1523.",,EXPERIMENTAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_033,aluminum,AL,Ion Exchange Resin,Resin Extraction - Unibest (0.5 M HCl),Saturated paste,,,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,"UniBest, Inc",https://www.unibestinc.com/about,,PROPRIETARY,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_034,aluminum,AL,Mehlich 3,Mehlich 3 (0.2 N CH3COOH + 0.25 N NH4NO3 + 0.013 N HNO3 + 0.015 N NH4F + 0.001 M EDTA),1:10,m/v,5 min,"ICP-OES, AAS",MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,"SERA-6, NCERA-13, NECC-1812","Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3",,PROVISIONAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_035,aluminum,AL,Potassium Chloride,1.0 M KCl,1:05,m/v,30 min,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1",,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_036,aluminum,AL,Potassium Chloride,1.0 M KCl,1:05,m/v,30 min,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1",,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_037,aluminum,AL,Potassium Chloride,1.0 M KCl,1:05,m/v,30 min,Titration,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1",,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_038,aluminum,AL,Potassium Chloride,1.0 M KCl,1:05,m/v,30 min,Titration,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1",,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_039,aluminum,AL,Mehlich 3,Mehlich 3 (0.2 N CH3COOH + 0.25 N NH4NO3 + 0.013 N HNO3 + 0.015 N NH4F + 0.001 M EDTA),1:10,m/v,5 min,"ICP-OES, AAS",MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,,"Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3",,PROVISIONAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_040,aluminum,AL,Modified Morgan,Modified Morgan (0.62 N NH4OH + 1.25 N CH3COOH),1:05,m/v,15 min,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,Cornell,https://bpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/7/9922/files/2022/04/CSH13-Modified-Morgan-Extraction-and-pH-Measurement-SOP-4-2022-1.pdf,,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AL_041,aluminum,AL,Potassium Chloride,0.2 M CaCl2,1:05,m/v,30 min,ICP-OES,MEASURED,%,prcnt,PERCENT,http://qudt.org/vocab/unit/PERCENT,ASPAC,,,OFFICIAL,CANDIDATE,2026-04-02T12:00:00Z,,,
SOIL,L_MODV2_SOIL_AMINON_001,amino nitrogen,AMINON,Boric Acid,NH2 Release (Boric Acid),,,,Titration,MEASURED,mg/kg,mg1kg-1,MilliGM-PER-KiloGM,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,,,,EXPERIMENTAL,SUPERSEDED,2024-11-13T12:00:00Z,2026-04-02T12:00:00Z,Mass-per-mass/ppm harmonization to percent; was mg/kg,
