v2Code,Matrix,Analyte,Analyte Code,Extraction Name,Extraction Name Code,Extraction reagents/formulation,Extraction Ratio (Soil:Extractant),Extraction Basis,Extraction Time,Analyte Measurement,Analyte Measurement Code,Observation Category,Reporting Unit,Reporting Unit Code,Acceptance,Status,Organization,Citation
L_MODV2_SOIL_AL_008,SOIL,aluminum,AL,EPA 3051A/B,EPA_3051A_B,"EPA 3051A/B Microwave Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,
L_MODV2_SOIL_AL_009,SOIL,aluminum,AL,EPA 3052,EPA_3052,"EPA 3052 MIcrowave Digestion (Nitric Acid, Hydrofluoric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,
L_MODV2_SOIL_AL_010,SOIL,aluminum,AL,H3A-1,H3A-1,H3A-1 Extractant (H3A-1 0.0024 M citric acid + 0.004 M oxalic acid + 0.004 M malic acid at pH 3.75 ),,m/v,10 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,"Haney, R. L., et al. ""Modifications to the new soil extractant H3A-1: A multinutrient extractant."" Communications in soil science and plant analysis 41.12 (2010): 1513-1523."
L_MODV2_SOIL_AL_011,SOIL,aluminum,AL,Ion Exchange Resin,ION_EXCHANGE_RESIN,Resin Extraction - Unibest (0.5 M HCl),Saturated paste,,,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,PROPRIETARY,VALID,"UniBest, Inc",https://www.unibestinc.com/about
L_MODV2_SOIL_AL_012,SOIL,aluminum,AL,Mehlich 3 ,MEHLICH_3,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,"SERA-6, NCERA-13, NEC-1812","Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3"
L_MODV2_SOIL_AL_013,SOIL,aluminum,AL,Mehlich 3 ,MEHLICH_3,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,v/v,5 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/L,mg1L-1,PROVISIONAL,VALID,SERA-6,"Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3"
L_MODV2_SOIL_AL_014,SOIL,aluminum,AL,Nitric Acid,NITRIC_ACID,HN03,,m/v,,,,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_AL_015,SOIL,aluminum,AL,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,180 min,ICP-OES,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_AL_016,SOIL,aluminum,AL,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,24 hrs,ICP-OES,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_AL_017,SOIL,aluminum,AL,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Field Capacity,in situ probe,24 hrs,ICP-OES,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_AL_018,SOIL,aluminum,AL,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,1:05,m/v,30 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1"
L_MODV2_SOIL_AL_019,SOIL,aluminum,AL,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,1:05,m/v,30 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1"
L_MODV2_SOIL_AL_020,SOIL,aluminum,AL,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,1:05,m/v,30 min,Titration,TITRATION,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1"
L_MODV2_SOIL_AL_021,SOIL,aluminum,AL,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,1:05,m/v,30 min,Titration,TITRATION,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1"
L_MODV2_SOIL_AL_022,SOIL,aluminum,AL,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,ICP-OES,ICP-OES,MEASURED,mg/L,mg1L-1,EXPERIMENTAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_AL_023,SOIL,aluminum,AL,Mehlich 3 ,MEHLICH_3,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,,"Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3"
L_MODV2_SOIL_AL_024,SOIL,aluminum,AL,Modified Morgan,MODIFIED_MORGAN,Modified Morgan (0.62 N NH4OH + 1.25 N CH3COOH),1:05,m/v,15 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,Cornell,https://bpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/7/9922/files/2022/04/CSH13-Modified-Morgan-Extraction-and-pH-Measurement-SOP-4-2022-1.pdf
L_MODV2_SOIL_AMINON_001,SOIL,amino nitrogen,AMINON,Boric Acid,BORIC_ACID,NH2 Release (Boric Acid),,,,Titration,TITRATION,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_NH4_001,SOIL,ammonium,NH4,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,180 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_NH4_002,SOIL,ammonium,NH4,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,24 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_NH4_003,SOIL,ammonium,NH4,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,24 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_NH4N_001,SOIL,ammonium-nitrogen,NH4N,Calcium Chloride,CALCIUM_CHLORIDE,0.01 M CaCl2,1:10,m/v,120 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20."
L_MODV2_SOIL_NH4N_002,SOIL,ammonium-nitrogen,NH4N,Slurry,SLURRY,Deionized Water,1:01,m/m,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_NH4N_003,SOIL,ammonium-nitrogen,NH4N,H3A-1,H3A-1,H3A-1 Extractant (H3A-1 0.0024 M citric acid + 0.004 M oxalic acid + 0.004 M malic acid at pH 3.75 ),1:10,m/v,10 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,"Communications in Soil Science and Plant Analysis 41(12):1513-1523, DOI:10.1080/00103624.2010.482173"
L_MODV2_SOIL_NH4N_004,SOIL,ammonium-nitrogen,NH4N,Ion Exchange Resin,ION_EXCHANGE_RESIN,Resin Extraction - Unibest (0.5 M HCl),Saturated paste,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,PROPRIETARY,VALID,,
L_MODV2_SOIL_NH4N_005,SOIL,ammonium-nitrogen,NH4N,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,1:05,m/v,30 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 5, pp 5.1-5.3."
L_MODV2_SOIL_NH4N_006,SOIL,ammonium-nitrogen,NH4N,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,1:05,m/v,30 min,Diff - Conductivity,DIFF-CONDUCTIVITY,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 5, pp 5.1-5.3."
L_MODV2_SOIL_NH4N_007,SOIL,ammonium-nitrogen,NH4N,Potassium Chloride,POTASSIUM_CHLORIDE,0.5 M KCl,1:05,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,,
L_MODV2_SOIL_NH4N_008,SOIL,ammonium-nitrogen,NH4N,Potassium Chloride,POTASSIUM_CHLORIDE,2.0 M KCl,1:05,m/v,30 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 5, pp 5.1-5.3."
L_MODV2_SOIL_NH4N_009,SOIL,ammonium-nitrogen,NH4N,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/L,mg1L-1,PROVISIONAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_SB_001,SOIL,antimony,SB,EPA 3050,EPA_3050,"EPA 3050 Digestion (Nitric Acid, Hydrogen Peroxide), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_AS_001,SOIL,arsenic,AS,Aqua Regia,AQUA_REGIA,Aqua Regia (3:1 mixture of hydrochloric (HCl) and nitric (HNO3) acids),1:10,m/v,20 min,ICP-OES / ICP-MS,ICP-OES_ICP-MS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,ISO,ISO standard 11466 or EPA 3051A
L_MODV2_SOIL_AS_002,SOIL,arsenic,AS,EPA 3050,EPA_3050,"EPA 3050 Digestion (Nitric Acid, Hydrogen Peroxide), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_AS_003,SOIL,arsenic,AS,EPA 3050,EPA_3050,"EPA 3050 Digestion (Nitric Acid, Hydrogen Peroxide), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_AS_004,SOIL,arsenic,AS,EPA 3051A/B,EPA_3051A_B,"EPA 3051A/B Microwave Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_AS_005,SOIL,arsenic,AS,EPA 3052,EPA_3052,"EPA 3052 MIcrowave Digestion (Nitric Acid, Hydrofluoric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_ARYLS_001,SOIL,arylsulfatase,ARYLS,,,Assay incubation,1:10,v/v,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,nmol/h/mg,nmol1hr-1mg-1,OFFICIAL,VALID,Soil Health Institute,"Klose, et al., 2011"
L_MODV2_SOIL_AWHC_001,SOIL,available water holding capacity,AWHC,Slurry,SLURRY,Ceramic plate method measured at -33 kPa (-10 kPa for sandy soils) and -1500 kPa,1:04,v/v,,Gravimetric,GRAVIMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,Soil Health Institute,"Klute, 1986"
L_MODV2_SOIL_BA_001,SOIL,barium,BA,EPA 3050,EPA_3050,"EPA 3050 Digestion (Nitric Acid, Hydrogen Peroxide), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_BA_002,SOIL,barium,BA,Mehlich 3 ,MEHLICH_3,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,,
L_MODV2_SOIL_BA_003,SOIL,barium,BA,EPA 3051A/B,EPA_3051A_B,"EPA 3051A/B Microwave Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_BA_004,SOIL,barium,BA,EPA 3052,EPA_3052,"EPA 3052 MIcrowave Digestion (Nitric Acid, Hydrofluoric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_BS_001,SOIL,base saturation,BS,Calculation,CALCULATION,Calculation,Calculation,Calculation,Calculation,ICP-OES / AAS,ICP-OES_AAS,CALCULATION,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 7, p 7.3"
L_MODV2_SOIL_CABS_001,SOIL,base saturation - Ca,CABS,Calculation,CALCULATION,Calculation,Calculation,Calculation,Calculation,ICP-OES / AAS,ICP-OES_AAS,CALCULATION,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 7, p 7.3"
L_MODV2_SOIL_CAMGBS_001,SOIL,base saturation - Ca:Mg,CAMGBS,Mehlich 3 ,CALCULATION,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,CALCULATION,ratio,ratio,EXPERIMENTAL,VALID,"SERA-6, NCERA-13, NEC-1812","Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3"
L_MODV2_SOIL_CAANDMGBS_001,SOIL,base saturation - Ca+Mg,CAANDMGBS,Mehlich 3 ,CALCULATION,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,CALCULATION,ratio,ratio,EXPERIMENTAL,VALID,"SERA-6, NCERA-13, NEC-1812","Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3"
L_MODV2_SOIL_HBS_001,SOIL,base saturation - H,HBS,Calculation,CALCULATION,Calculation,Calculation,Calculation,Calculation,ICP-OES / AAS,ICP-OES_AAS,CALCULATION,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 7, p 7.3"
L_MODV2_SOIL_KBS_001,SOIL,base saturation - K,KBS,Calculation,CALCULATION,Calculation,Calculation,Calculation,Calculation,ICP-OES / AAS,ICP-OES_AAS,CALCULATION,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 7, p 7.3"
L_MODV2_SOIL_CAMGBS_001,SOIL,base saturation - Ca:Mg,CAMGBS,Mehlich 3 ,CALCULATION,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,m/v,5 min,ICP-OES / AAS,ICP-OES_AAS,CALCULATION,ratio,ratio,EXPERIMENTAL,INVALID,"SERA-6, NCERA-13, NEC-1812","Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3"
